,passengerid,survived,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
0,1,0,3,male,22.0,1,0,7.25,missing,S,Mr
1,2,1,1,female,38.0,1,0,71.2833,C85,C,Mrs
2,3,1,3,female,26.0,0,0,7.925,missing,S,Miss
3,4,1,1,female,35.0,1,0,53.1,C123,S,Mrs
4,5,0,3,male,35.0,0,0,8.05,missing,S,Mr
5,6,0,3,male,28.0,0,0,8.4583,missing,Q,Mr
6,7,0,1,male,54.0,0,0,51.8625,E46,S,Mr
7,8,0,3,male,2.0,3,1,21.075,missing,S,Master
8,9,1,3,female,27.0,0,2,11.1333,missing,S,Mrs
9,10,1,2,female,14.0,1,0,30.0708,missing,C,Mrs
10,11,1,3,female,4.0,1,1,16.7,G6,S,Miss
11,12,1,1,female,58.0,0,0,26.55,C103,S,Miss
12,13,0,3,male,20.0,0,0,8.05,missing,S,Mr
13,14,0,3,male,39.0,1,5,31.275,missing,S,Mr
14,15,0,3,female,14.0,0,0,7.8542,missing,S,Miss
15,16,1,2,female,55.0,0,0,16.0,missing,S,Mrs
16,17,0,3,male,2.0,4,1,29.125,missing,Q,Master
17,18,1,2,male,28.0,0,0,13.0,missing,S,Mr
18,19,0,3,female,31.0,1,0,18.0,missing,S,Mrs
19,20,1,3,female,28.0,0,0,7.225,missing,C,Mrs
20,21,0,2,male,35.0,0,0,26.0,missing,S,Mr
21,22,1,2,male,34.0,0,0,13.0,D56,S,Mr
22,23,1,3,female,15.0,0,0,8.0292,missing,Q,Miss
23,24,1,1,male,28.0,0,0,35.5,A6,S,Mr
24,25,0,3,female,8.0,3,1,21.075,missing,S,Miss
25,26,1,3,female,38.0,1,5,31.3875,missing,S,Mrs
26,27,0,3,male,28.0,0,0,7.225,missing,C,Mr
27,28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S,Mr
28,29,1,3,female,28.0,0,0,7.8792,missing,Q,Miss
29,30,0,3,male,28.0,0,0,7.8958,missing,S,Mr
30,31,0,1,male,40.0,0,0,27.7208,missing,C,Other
31,32,1,1,female,28.0,1,0,146.5208,B78,C,Mrs
32,33,1,3,female,28.0,0,0,7.75,missing,Q,Miss
33,34,0,2,male,66.0,0,0,10.5,missing,S,Mr
34,35,0,1,male,28.0,1,0,82.1708,missing,C,Mr
35,36,0,1,male,42.0,1,0,52.0,missing,S,Mr
36,37,1,3,male,28.0,0,0,7.2292,missing,C,Mr
37,38,0,3,male,21.0,0,0,8.05,missing,S,Mr
38,39,0,3,female,18.0,2,0,18.0,missing,S,Miss
39,40,1,3,female,14.0,1,0,11.2417,missing,C,Miss
40,41,0,3,female,40.0,1,0,9.475,missing,S,Mrs
41,42,0,2,female,27.0,1,0,21.0,missing,S,Mrs
42,43,0,3,male,28.0,0,0,7.8958,missing,C,Mr
43,44,1,2,female,3.0,1,2,41.5792,missing,C,Miss
44,45,1,3,female,19.0,0,0,7.8792,missing,Q,Miss
45,46,0,3,male,28.0,0,0,8.05,missing,S,Mr
46,47,0,3,male,28.0,1,0,15.5,missing,Q,Mr
47,48,1,3,female,28.0,0,0,7.75,missing,Q,Miss
48,49,0,3,male,28.0,2,0,21.6792,missing,C,Mr
49,50,0,3,female,18.0,1,0,17.8,missing,S,Mrs
50,51,0,3,male,7.0,4,1,39.6875,missing,S,Master
51,52,0,3,male,21.0,0,0,7.8,missing,S,Mr
52,53,1,1,female,49.0,1,0,76.7292,D33,C,Mrs
53,54,1,2,female,29.0,1,0,26.0,missing,S,Mrs
54,55,0,1,male,65.0,0,1,61.9792,B30,C,Mr
55,56,1,1,male,28.0,0,0,35.5,C52,S,Mr
56,57,1,2,female,21.0,0,0,10.5,missing,S,Miss
57,58,0,3,male,28.5,0,0,7.2292,missing,C,Mr
58,59,1,2,female,5.0,1,2,27.75,missing,S,Miss
59,60,0,3,male,11.0,5,2,46.9,missing,S,Master
60,61,0,3,male,22.0,0,0,7.2292,missing,C,Mr
61,62,1,1,female,38.0,0,0,80.0,B28,missing,Miss
62,63,0,1,male,45.0,1,0,83.475,C83,S,Mr
63,64,0,3,male,4.0,3,2,27.9,missing,S,Master
64,65,0,1,male,28.0,0,0,27.7208,missing,C,Mr
65,66,1,3,male,28.0,1,1,15.2458,missing,C,Master
